"organ","gene_id","gene_short_name","gene_type","max.cluster","second.cluster","max.expr","second.expr","fold.change","pval","qval"
"Cerebellum","ENSG00000214188.5","ST7-OT4","protein_coding","Granule neurons","Inhibitory interneurons",55.64095907,44.77473304,1.242632373,6.65e-34,1.96e-33
"Cerebellum","ENSG00000143093.10","STRIP1","protein_coding","Granule neurons","Unipolar brush cells",43.83533677,37.79854154,1.159667498,2.86e-14,6.1e-14
"Cerebellum","ENSG00000196711.4","FAM150A","protein_coding","Granule neurons","Unipolar brush cells",3.012282963,1.865241743,1.611676454,2.05e-09,3.84e-09
"Cerebellum","ENSG00000105976.10","MET","protein_coding","Granule neurons","Astrocytes",4.276501324,3.09617234,1.379994686,2.13e-06,3.57e-06
"Cerebellum","ENSG00000221986.2","MYBPHL","protein_coding","Granule neurons","Unipolar brush cells",2.56977876,1.483727427,1.727074642,5.75e-06,9.42e-06
"Cerebellum","ENSG00000235631.1","RNF148","protein_coding","Granule neurons","Unipolar brush cells",0.68312707,0.622258629,1.096271427,0.00456904,0.006289642
"Cerebellum","ENSG00000206579.7","XKR4","protein_coding","Inhibitory interneurons","Purkinje neurons",5266.407253,1181.831602,4.456110908,0,0
"Cerebellum","ENSG00000180828.1","BHLHE22","protein_coding","Inhibitory interneurons","Unipolar brush cells",180.5347371,113.6362185,1.588655914,0,0
"Cerebellum","ENSG00000004866.14","ST7","protein_coding","Inhibitory interneurons","Granule neurons",348.1856722,313.6643586,1.110054624,0,0
"Cerebellum","ENSG00000044524.6","EPHA3","protein_coding","Inhibitory interneurons","Granule neurons",684.1057398,680.138024,1.005833606,0,0
"Cerebellum","ENSG00000143126.7","CELSR2","protein_coding","Inhibitory interneurons","Granule neurons",118.8174129,93.3156638,1.27325548,6.92e-142,4.26e-141
"Cerebellum","ENSG00000116299.12","KIAA1324","protein_coding","Inhibitory interneurons","SLC24A4_PEX5L positive cells",34.3654731,30.94421493,1.110526407,1.1e-94,5.4e-94
"Cerebellum","ENSG00000137574.6","TGS1","protein_coding","Inhibitory interneurons","Oligodendrocytes",75.87160258,49.70462427,1.52634368,1.74e-58,6.63e-58
"Cerebellum","ENSG00000035681.3","NSMAF","protein_coding","Inhibitory interneurons","SLC24A4_PEX5L positive cells",95.7534394,93.85340928,1.020242501,8.6e-48,2.97e-47
"Cerebellum","ENSG00000215114.3","UBXN2B","protein_coding","Inhibitory interneurons","Unipolar brush cells",60.28253334,57.47617774,1.04881792,1.94e-37,5.97e-37
"Cerebellum","ENSG00000134259.3","NGF","protein_coding","Inhibitory interneurons","SLC24A4_PEX5L positive cells",8.810358828,2.669955493,3.291233325,1.12e-28,3.07e-28
"Cerebellum","ENSG00000181754.6","AMIGO1","protein_coding","Inhibitory interneurons","Unipolar brush cells",11.46224788,9.184924176,1.247671831,2.16e-20,5.19e-20
"Cerebellum","ENSG00000162641.14","AKNAD1","protein_coding","Inhibitory interneurons","Purkinje neurons",37.00729358,33.90158712,1.091582457,2.65e-18,6.15e-18
"Cerebellum","ENSG00000154415.3","PPP1R3A","protein_coding","Inhibitory interneurons","Purkinje neurons",6.758458643,2.431281084,2.772502801,1.14e-17,2.62e-17
"Cerebellum","ENSG00000065183.11","WDR3","protein_coding","Inhibitory interneurons","Vascular endothelial cells",24.80387572,24.53928926,1.010777764,4.16e-08,7.46e-08
"Cerebellum","ENSG00000162650.11","ATXN7L2","protein_coding","Inhibitory interneurons","Granule neurons",6.920813567,6.469364388,1.069674917,2.73e-06,4.56e-06
"Cerebellum","ENSG00000227124.4","ZNF717","protein_coding","Inhibitory interneurons","Unipolar brush cells",11.15759162,10.09289725,1.105385054,0.004010974,0.005551576
"Cerebellum","ENSG00000154438.3","ASZ1","protein_coding","Inhibitory interneurons","Vascular endothelial cells",0.380228137,0.191310651,1.938437605,0.495370943,0.510694127
"Cerebellum","ENSG00000105967.11","TFEC","protein_coding","Microglia","Vascular endothelial cells",233.4752012,0.664136485,346.3470772,0,0
"Cerebellum","ENSG00000143119.8","CD53","protein_coding","Microglia","Purkinje neurons",397.11525,1.210929596,325.26466,0,0
"Cerebellum","ENSG00000184371.9","CSF1","protein_coding","Microglia","Vascular endothelial cells",259.9277661,13.5656037,19.14741855,0,0
"Cerebellum","ENSG00000128512.15","DOCK4","protein_coding","Microglia","Vascular endothelial cells",5488.919015,707.1811193,7.761592114,0,0
"Cerebellum","ENSG00000254087.3","LYN","protein_coding","Microglia","Vascular endothelial cells",886.3242057,117.1087976,7.567821938,0,0
"Cerebellum","ENSG00000162636.11","FAM102B","protein_coding","Microglia","Astrocytes",320.1436222,60.21222945,5.316203421,0,0
"Cerebellum","ENSG00000106034.13","CPED1","protein_coding","Microglia","Vascular endothelial cells",428.4951638,90.17538904,4.75138122,0,0
"Cerebellum","ENSG00000116473.10","RAP1A","protein_coding","Microglia","Vascular endothelial cells",659.2857742,147.5855098,4.466909426,0,0
"Cerebellum","ENSG00000134207.10","SYT6","protein_coding","Microglia","Unipolar brush cells",359.4673301,109.885931,3.27107043,0,0
"Cerebellum","ENSG00000116774.7","OLFML3","protein_coding","Microglia","Vascular endothelial cells",455.4904448,234.2757884,1.944208601,0,0
"Cerebellum","ENSG00000121933.13","ADORA3","protein_coding","Microglia","Vascular endothelial cells",123.9904406,1.295940604,94.95105688,1.41e-248,1.21e-247
"Cerebellum","ENSG00000114480.8","GBE1","protein_coding","Microglia","Vascular endothelial cells",227.1455612,64.97222509,3.495656865,8.58e-246,7.29e-245
"Cerebellum","ENSG00000116489.8","CAPZA1","protein_coding","Microglia","Vascular endothelial cells",200.8212412,149.4442805,1.343763728,8.63e-232,7.09e-231
"Cerebellum","ENSG00000164597.9","COG5","protein_coding","Microglia","Astrocytes",341.9420139,201.2005882,1.699473258,2.26e-200,1.7e-199
"Cerebellum","ENSG00000116266.6","STXBP3","protein_coding","Microglia","Astrocytes",98.07174976,85.40189542,1.148338288,1.44e-195,1.07e-194
"Cerebellum","ENSG00000006652.9","IFRD1","protein_coding","Microglia","Vascular endothelial cells",142.6258066,46.93336455,3.038465777,1.52e-174,1.05e-173
"Cerebellum","ENSG00000181690.3","PLAG1","protein_coding","Microglia","Astrocytes",47.46408918,38.78409568,1.223745221,3.02e-160,1.99e-159
"Cerebellum","ENSG00000120992.13","LYPLA1","protein_coding","Microglia","Vascular endothelial cells",171.4559578,99.62916248,1.72086912,1.47e-133,8.72e-133
"Cerebellum","ENSG00000198898.8","CAPZA2","protein_coding","Microglia","Vascular endothelial cells",230.8261959,100.3764915,2.299474684,6.13e-129,3.58e-128
"Cerebellum","ENSG00000105851.6","PIK3CG","protein_coding","Microglia","Vascular endothelial cells",46.50561104,8.511225246,5.458793741,4.15e-127,2.4e-126
"Cerebellum","ENSG00000104388.10","RAB2A","protein_coding","Microglia","Oligodendrocytes",361.0747503,290.1281722,1.244526867,1.54e-107,8.12e-107
"Cerebellum","ENSG00000116815.11","CD58","protein_coding","Microglia","Vascular endothelial cells",34.03094895,32.95462507,1.032650876,1.64e-97,8.21e-97
"Cerebellum","ENSG00000134186.7","PRPF38B","protein_coding","Microglia","Vascular endothelial cells",96.6020824,59.17582364,1.632351743,6.27e-75,2.72e-74
"Cerebellum","ENSG00000156171.10","DRAM2","protein_coding","Microglia","Vascular endothelial cells",93.12535614,37.50706208,2.482479996,2.52e-71,1.06e-70
"Cerebellum","ENSG00000164603.7","C7orf60","protein_coding","Microglia","Granule neurons",160.5096851,108.8592307,1.474426559,1.53e-69,6.37e-69
"Cerebellum","ENSG00000146802.8","TMEM168","protein_coding","Microglia","Astrocytes",110.6549501,94.33096078,1.173031832,3.78e-68,1.56e-67
"Cerebellum","ENSG00000162777.12","DENND2D","protein_coding","Microglia","SLC24A4_PEX5L positive cells",25.34370476,0.186017851,129.3438566,3.44e-61,1.34e-60
"Cerebellum","ENSG00000198839.5","ZNF277","protein_coding","Microglia","Oligodendrocytes",112.0066669,66.08217862,1.694855114,1.06e-60,4.11e-60
"Cerebellum","ENSG00000168765.11","GSTM4","protein_coding","Microglia","Vascular endothelial cells",18.55322524,13.01586974,1.425104474,6.79e-44,2.25e-43
"Cerebellum","ENSG00000116830.7","TTF2","protein_coding","Microglia","Astrocytes",32.65181799,21.86525644,1.493094176,7.72e-44,2.56e-43
"Cerebellum","ENSG00000134255.9","CEPT1","protein_coding","Microglia","Granule neurons",99.52630812,57.58791199,1.72812355,1.15e-28,3.14e-28
"Cerebellum","ENSG00000047249.12","ATP6V1H","protein_coding","Microglia","Purkinje neurons",89.56479166,80.50390373,1.112538177,2.44e-28,6.65e-28
"Cerebellum","ENSG00000170791.13","CHCHD7","protein_coding","Microglia","Vascular endothelial cells",15.10832917,10.93995989,1.380674388,1.15e-15,2.54e-15
"Cerebellum","ENSG00000196505.6","GDAP2","protein_coding","Microglia","Unipolar brush cells",72.9304406,53.61695979,1.360144988,3.73e-15,8.12e-15
"Cerebellum","ENSG00000185728.12","YTHDF3","protein_coding","Microglia","Vascular endothelial cells",85.11619846,73.83409453,1.152782751,5.78e-12,1.17e-11
"Cerebellum","ENSG00000134242.11","PTPN22","protein_coding","Microglia","SLC24A4_PEX5L positive cells",11.35956427,2.523161019,4.488291185,2.82e-11,5.58e-11
"Cerebellum","ENSG00000116752.5","BCAS2","protein_coding","Microglia","Unipolar brush cells",37.75310593,25.75647416,1.46559074,5.02e-10,9.57e-10
"Cerebellum","ENSG00000174151.10","CYB561D1","protein_coding","Microglia","SLC24A4_PEX5L positive cells",7.832921975,7.646003657,1.024414607,1.97e-07,3.45e-07
"Cerebellum","ENSG00000143110.7","C1orf162","protein_coding","Microglia","SLC24A4_PEX5L positive cells",6.598870638,3.464304963,1.90221374,2.37e-07,4.13e-07
"Cerebellum","ENSG00000162639.11","HENMT1","protein_coding","Microglia","Purkinje neurons",6.144519582,5.326880122,1.153205514,0.000468,0.000695
"Cerebellum","ENSG00000143028.7","SYPL2","protein_coding","Microglia","Astrocytes",1.663027388,0.618780596,2.660749073,0.000482,0.000714
"Cerebellum","ENSG00000162631.14","NTNG1","protein_coding","Oligodendrocytes","Astrocytes",729.7726429,276.4064945,2.640155915,0,0
"Cerebellum","ENSG00000175161.9","CADM2","protein_coding","Oligodendrocytes","Purkinje neurons",10724.32443,4305.79221,2.490670474,0,0
"Cerebellum","ENSG00000106278.7","PTPRZ1","protein_coding","Oligodendrocytes","Astrocytes",4148.761708,1757.858532,2.360114896,0,0
"Cerebellum","ENSG00000147481.9","SNTG1","protein_coding","Oligodendrocytes","Inhibitory interneurons",3151.639221,1548.412267,2.035393889,0,0
"Cerebellum","ENSG00000184408.5","KCND2","protein_coding","Oligodendrocytes","Granule neurons",8991.18816,4720.410309,1.90474525,0,0
"Cerebellum","ENSG00000121957.8","GPSM2","protein_coding","Oligodendrocytes","Astrocytes",147.5955276,122.8516567,1.201396202,0,0
"Cerebellum","ENSG00000113805.8","CNTN3","protein_coding","Oligodendrocytes","Purkinje neurons",278.5452863,240.2741505,1.159274491,0,0
"Cerebellum","ENSG00000106025.4","TSPAN12","protein_coding","Oligodendrocytes","Vascular endothelial cells",39.44130084,30.83904518,1.278849981,4.37e-180,3.08e-179
"Cerebellum","ENSG00000177301.9","KCNA2","protein_coding","Oligodendrocytes","Inhibitory interneurons",33.14750631,24.33650904,1.361899821,1.58e-84,7.34e-84
"Cerebellum","ENSG00000198799.7","LRIG2","protein_coding","Oligodendrocytes","SLC24A4_PEX5L positive cells",67.05995703,60.82796428,1.102435918,1.44e-32,4.17e-32
"Cerebellum","ENSG00000172209.4","GPR22","protein_coding","Oligodendrocytes","Inhibitory interneurons",6.629861437,6.302747874,1.051817936,1.17e-17,2.68e-17
"Cerebellum","ENSG00000167904.10","TMEM68","protein_coding","Oligodendrocytes","Inhibitory interneurons",47.1399638,44.96579248,1.048340923,1.58e-17,3.6e-17
"Cerebellum","ENSG00000198765.7","SYCP1","protein_coding","Oligodendrocytes","Vascular endothelial cells",1.174544507,1.096335351,1.070692088,0.240459925,0.261953341
"Cerebellum","ENSG00000178538.5","CA8","protein_coding","Purkinje neurons","Oligodendrocytes",1675.740381,134.3208151,12.47480245,0,0
"Cerebellum","ENSG00000128573.18","FOXP2","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",4758.759272,629.3279848,7.561547828,0,0
"Cerebellum","ENSG00000134215.11","VAV3","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",204.8142407,125.2167495,1.635626904,0,0
"Cerebellum","ENSG00000184903.5","IMMP2L","protein_coding","Purkinje neurons","Microglia",3275.309447,2078.285013,1.575964637,0,0
"Cerebellum","ENSG00000077063.6","CTTNBP2","protein_coding","Purkinje neurons","Microglia",571.7452084,402.9200311,1.418993781,0,0
"Cerebellum","ENSG00000008311.10","AASS","protein_coding","Purkinje neurons","Astrocytes",130.7012297,96.28059058,1.357466279,0,0
"Cerebellum","ENSG00000197106.6","SLC6A17","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",50.98767953,48.64996382,1.048041871,5.89e-195,4.35e-194
"Cerebellum","ENSG00000155761.9","SPAG17","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",55.09222905,40.86120032,1.348192092,3.17e-148,2e-147
"Cerebellum","ENSG00000196937.6","FAM3C","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",122.1201803,77.27345695,1.580288785,1.26e-115,6.94e-115
"Cerebellum","ENSG00000181195.6","PENK","protein_coding","Purkinje neurons","Vascular endothelial cells",20.46297562,11.14879944,1.834693394,1.83e-59,7.04e-59
"Cerebellum","ENSG00000001626.10","CFTR","protein_coding","Purkinje neurons","Inhibitory interneurons",26.77742462,7.737118234,3.45772761,1.86e-57,7.02e-57
"Cerebellum","ENSG00000128609.10","NDUFA5","protein_coding","Purkinje neurons","Vascular endothelial cells",80.33891657,58.07997599,1.383180406,8.19e-51,2.92e-50
"Cerebellum","ENSG00000002745.8","WNT16","protein_coding","Purkinje neurons","Unipolar brush cells",15.561254,1.433674465,10.78584846,1.2e-48,4.17e-48
"Cerebellum","ENSG00000170786.8","SDR16C5","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",13.43203187,7.424557703,1.808047284,1.36e-46,4.63e-46
"Cerebellum","ENSG00000164604.8","GPR85","protein_coding","Purkinje neurons","Inhibitory interneurons",28.04106965,25.70490275,1.090848755,1.15e-27,3.09e-27
"Cerebellum","ENSG00000156097.8","GPR61","protein_coding","Purkinje neurons","SLC24A4_PEX5L positive cells",5.539474871,4.701681326,1.177812014,4.79e-24,1.22e-23
"Cerebellum","ENSG00000118729.10","CASQ2","protein_coding","Purkinje neurons","Unipolar brush cells",2.13029725,1.709070671,1.245031566,0.000306,0.000459
"Cerebellum","ENSG00000091128.8","LAMB4","protein_coding","Purkinje neurons","Granule neurons",4.02925932,2.871261028,1.401906763,0.000654,0.00096
"Cerebellum","ENSG00000105865.6","DUS4L","protein_coding","Purkinje neurons","Astrocytes",10.90279576,9.207877584,1.183872932,0.00722113,0.009745857
"Cerebellum","ENSG00000198846.5","TOX","protein_coding","SLC24A4_PEX5L positive cells","Astrocytes",902.0020815,473.5138565,1.904892582,0,0
"Cerebellum","ENSG00000005249.8","PRKAR2B","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",320.9270851,184.9065144,1.735578275,0,0
"Cerebellum","ENSG00000143061.13","IGSF3","protein_coding","SLC24A4_PEX5L positive cells","Inhibitory interneurons",156.3337165,154.3590509,1.012791849,0,0
"Cerebellum","ENSG00000163393.8","SLC22A15","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",96.60887314,85.65999096,1.127803004,1.69e-253,1.47e-252
"Cerebellum","ENSG00000134247.9","PTGFRN","protein_coding","SLC24A4_PEX5L positive cells","Oligodendrocytes",87.21503111,73.74765499,1.182589538,4.41e-225,3.54e-224
"Cerebellum","ENSG00000134198.5","TSPAN2","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",68.60053238,39.52451279,1.735459161,5.16e-180,3.65e-179
"Cerebellum","ENSG00000198162.8","MAN1A2","protein_coding","SLC24A4_PEX5L positive cells","Vascular endothelial cells",363.697766,213.1209542,1.706499027,2.35e-163,1.56e-162
"Cerebellum","ENSG00000085433.11","WDR47","protein_coding","SLC24A4_PEX5L positive cells","Unipolar brush cells",88.20901656,87.29041484,1.010522306,9.33e-96,4.62e-95
"Cerebellum","ENSG00000168300.9","PCMTD1","protein_coding","SLC24A4_PEX5L positive cells","Unipolar brush cells",146.9300379,140.4558036,1.046091177,4.85e-39,1.52e-38
"Cerebellum","ENSG00000134256.8","CD101","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",9.635550313,9.594217881,1.004303571,9.71e-35,2.89e-34
"Cerebellum","ENSG00000085465.11","OVGP1","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",8.553577978,7.547518935,1.133120281,8.5e-24,2.17e-23
"Cerebellum","ENSG00000143067.4","ZNF697","protein_coding","SLC24A4_PEX5L positive cells","Inhibitory interneurons",15.50945134,13.30443021,1.165611377,1.13e-20,2.73e-20
"Cerebellum","ENSG00000106013.8","ANKRD7","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",5.043235601,3.257964576,1.546294485,3.7e-08,6.66e-08
"Cerebellum","ENSG00000173212.4","MAB21L3","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",1.984552953,0.619038947,3.170794055,2.26e-06,3.79e-06
"Cerebellum","ENSG00000155367.11","PPM1J","protein_coding","SLC24A4_PEX5L positive cells","Inhibitory interneurons",2.732641348,1.333495625,2.041421868,1.54e-05,2.48e-05
"Cerebellum","ENSG00000105989.4","WNT2","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",2.849318169,1.300272674,2.182231397,0.00017,0.000259
"Cerebellum","ENSG00000181016.5","LSMEM1","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",3.34823715,3.013431154,1.1107371,0.000624,0.000918
"Cerebellum","ENSG00000134262.8","AP4B1","protein_coding","SLC24A4_PEX5L positive cells","Purkinje neurons",11.74710293,10.52795066,1.11569159,0.003380114,0.004706427
"Cerebellum","ENSG00000091138.8","SLC26A3","protein_coding","SLC24A4_PEX5L positive cells","Granule neurons",1.260439069,0.896120057,1.402064835,0.312573284,0.332968792
"Cerebellum","ENSG00000184599.9","FAM19A3","protein_coding","SLC24A4_PEX5L positive cells","Oligodendrocytes",0.394367883,0.130208333,2.884050281,0.347171504,0.367072141
"Cerebellum","ENSG00000177182.6","CLVS1","protein_coding","Unipolar brush cells","Inhibitory interneurons",419.7265608,264.3541696,1.587721065,0,0
"Cerebellum","ENSG00000173114.8","LRRN3","protein_coding","Unipolar brush cells","Purkinje neurons",450.3551045,367.3021741,1.226109931,0,0
"Cerebellum","ENSG00000081803.11","CADPS2","protein_coding","Unipolar brush cells","Granule neurons",1400.580277,1259.672438,1.111859811,0,0
"Cerebellum","ENSG00000169122.7","FAM110B","protein_coding","Unipolar brush cells","Oligodendrocytes",305.0802762,289.0286369,1.05553458,0,0
"Cerebellum","ENSG00000172817.3","CYP7B1","protein_coding","Unipolar brush cells","Oligodendrocytes",98.43994333,90.19978183,1.091344434,2.42e-93,1.18e-92
"Cerebellum","ENSG00000116793.11","PHTF1","protein_coding","Unipolar brush cells","Astrocytes",97.68065666,65.31184156,1.495528208,1.06e-61,4.16e-61
"Cerebellum","ENSG00000197323.6","TRIM33","protein_coding","Unipolar brush cells","Inhibitory interneurons",264.7219453,236.5068518,1.119294221,3.62e-45,1.22e-44
"Cerebellum","ENSG00000023287.8","RB1CC1","protein_coding","Unipolar brush cells","Vascular endothelial cells",188.8287772,172.7423056,1.093118709,1.93e-41,6.25e-41
"Cerebellum","ENSG00000081019.9","RSBN1","protein_coding","Unipolar brush cells","Vascular endothelial cells",83.80666136,72.14491814,1.161620906,4.53e-29,1.25e-28
"Cerebellum","ENSG00000134258.12","VTCN1","protein_coding","Unipolar brush cells","SLC24A4_PEX5L positive cells",6.247524362,4.61912057,1.351773899,1.24e-14,2.66e-14
"Cerebellum","ENSG00000177272.7","KCNA3","protein_coding","Unipolar brush cells","Inhibitory interneurons",6.629661479,6.265791852,1.057979875,4.59e-13,9.51e-13
"Cerebellum","ENSG00000134245.13","WNT2B","protein_coding","Unipolar brush cells","Oligodendrocytes",25.67676263,24.54547741,1.046070585,3e-06,5e-06
"Cerebellum","ENSG00000188761.7","BCL2L15","protein_coding","Unipolar brush cells","SLC24A4_PEX5L positive cells",2.505640185,1.53806073,1.625026807,0.012315753,0.016211035
"Cerebellum","ENSG00000081800.4","SLC13A1","protein_coding","Unipolar brush cells","Granule neurons",0.542184984,0.499060094,1.084714732,0.147810376,0.166917904
"Cerebellum","ENSG00000105971.10","CAV2","protein_coding","Vascular endothelial cells","Purkinje neurons",148.6685514,9.333807059,15.9119886,0,0
"Cerebellum","ENSG00000105974.7","CAV1","protein_coding","Vascular endothelial cells","Astrocytes",229.9975602,14.92252395,15.40312682,0,0
"Cerebellum","ENSG00000155380.7","SLC16A1","protein_coding","Vascular endothelial cells","Astrocytes",684.5854897,49.84209684,13.73253149,0,0
"Cerebellum","ENSG00000155366.12","RHOC","protein_coding","Vascular endothelial cells","Astrocytes",238.8047196,17.73144244,13.46084009,0,0
"Cerebellum","ENSG00000175984.10","DENND2C","protein_coding","Vascular endothelial cells","Unipolar brush cells",114.1637133,11.39770117,10.00847687,0,0
"Cerebellum","ENSG00000091136.9","LAMB1","protein_coding","Vascular endothelial cells","Unipolar brush cells",476.5231508,237.6101977,2.005440427,0,0
"Cerebellum","ENSG00000008988.5","RPS20","protein_coding","Vascular endothelial cells","Microglia",300.8950469,156.2940795,1.925125997,0,0
"Cerebellum","ENSG00000134243.7","SORT1","protein_coding","Vascular endothelial cells","Microglia",250.5724882,207.0088183,1.210433381,0,0
"Cerebellum","ENSG00000135272.5","MDFIC","protein_coding","Vascular endothelial cells","Purkinje neurons",153.3771748,138.8694696,1.104462562,0,0
"Cerebellum","ENSG00000075790.6","BCAP29","protein_coding","Vascular endothelial cells","Astrocytes",155.1670686,86.49192585,1.793914611,3.74e-265,3.35e-264
