"stage",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","value","HIP_hippocampus (hippocampal formation)","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,12.2671927378798,201,3.46e-26,1.54e-25,"****"
"1","value","HIP_hippocampus (hippocampal formation)","M1C_primary motor cortex (area M1, area 4)",202,202,9.07382763103342,201,1.07e-16,2.27e-16,"****"
"1","value","HIP_hippocampus (hippocampal formation)","MD_mediodorsal nucleus of thalamus",202,202,5.10954441800629,201,7.49e-07,1.02e-06,"****"
"1","value","HIP_hippocampus (hippocampal formation)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,6.74680230084292,201,1.58e-10,2.49e-10,"****"
"1","value","HIP_hippocampus (hippocampal formation)","OFC_orbital frontal cortex",202,202,5.69548261557531,201,4.32e-08,6.3e-08,"****"
"1","value","HIP_hippocampus (hippocampal formation)","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,9.4887241988911,201,6.99e-18,1.61e-17,"****"
"1","value","HIP_hippocampus (hippocampal formation)","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,17.2062901260387,201,2.2e-41,8.8e-40,"****"
"1","value","HIP_hippocampus (hippocampal formation)","STR_striatum",202,202,9.57704500772581,201,3.89e-18,9.15e-18,"****"
"1","value","HIP_hippocampus (hippocampal formation)","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,16.890402569455,201,2.01e-40,4.82e-39,"****"
"1","value","HIP_hippocampus (hippocampal formation)","VFC_ventrolateral prefrontal cortex",202,202,11.5917875455709,201,3.99e-24,1.5e-23,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,-10.2972236545809,201,3.06e-20,8.16e-20,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","M1C_primary motor cortex (area M1, area 4)",202,202,-14.6033960258787,201,2.12e-33,1.96e-32,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","MD_mediodorsal nucleus of thalamus",202,202,-11.5164909130092,201,6.76e-24,2.39e-23,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,-14.2751365424039,201,2.2e-32,1.65e-31,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","OFC_orbital frontal cortex",202,202,-16.0818809301845,201,5.92e-38,1.18e-36,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,-13.8813778653535,201,3.64e-31,2.43e-30,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,-7.33153005564145,201,5.45e-12,9.08e-12,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","STR_striatum",202,202,-11.707548705149,201,1.78e-24,6.89e-24,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,-6.57243292520684,201,4.17e-10,6.42e-10,"****"
"1","value","IPC_posteroventral (inferior) parietal cortex","VFC_ventrolateral prefrontal cortex",202,202,-10.4117897066215,201,1.4e-20,4e-20,"****"
"1","value","ITC_inferolateral temporal cortex (area TEv, area 20)","M1C_primary motor cortex (area M1, area 4)",202,202,-4.03107580097683,201,7.88e-05,9.85e-05,"****"
"1","value","ITC_inferolateral temporal cortex (area TEv, area 20)","MD_mediodorsal nucleus of thalamus",202,202,-9.80990097225264,201,8.22e-19,2.01e-18,"****"
"1","value","ITC_inferolateral temporal cortex (area TEv, area 20)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,-12.8902553846168,201,4.2e-28,2.29e-27,"****"
"1","value","ITC_inferolateral temporal cortex (area TEv, area 20)","OFC_orbital frontal cortex",202,202,-13.6866615273252,201,1.46e-30,9.22e-30,"****"
"1","value","ITC_inferolateral temporal cortex (area TEv, area 20)","STR_striatum",202,202,-7.67742579120019,201,6.93e-13,1.19e-12,"****"
"1","value","ITC_inferolateral temporal cortex (area TEv, area 20)","VFC_ventrolateral prefrontal cortex",202,202,-5.23508115558873,201,4.14e-07,5.78e-07,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","MD_mediodorsal nucleus of thalamus",202,202,-7.41335813637634,201,3.36e-12,5.68e-12,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,-8.88462647466544,201,3.64e-16,7.53e-16,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","OFC_orbital frontal cortex",202,202,-10.2717605559717,201,3.64e-20,9.29e-20,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,3.93023549269493,201,0.000117,0.000143,"***"
"1","value","M1C_primary motor cortex (area M1, area 4)","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,4.05850923070651,201,7.07e-05,8.93e-05,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","STR_striatum",202,202,-4.47600225462154,201,1.27e-05,1.69e-05,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,4.29137885903285,201,2.76e-05,3.6e-05,"****"
"1","value","M1C_primary motor cortex (area M1, area 4)","VFC_ventrolateral prefrontal cortex",202,202,-2.14636856492448,201,0.033,0.037,"*"
"1","value","MD_mediodorsal nucleus of thalamus","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,2.83859775928606,201,0.005,0.006,"**"
"1","value","MD_mediodorsal nucleus of thalamus","OFC_orbital frontal cortex",202,202,2.69070886243514,201,0.008,0.009,"**"
"1","value","MD_mediodorsal nucleus of thalamus","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,7.9992060596794,201,9.75e-14,1.77e-13,"****"
"1","value","MD_mediodorsal nucleus of thalamus","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,13.3719996538951,201,1.37e-29,8.22e-29,"****"
"1","value","MD_mediodorsal nucleus of thalamus","STR_striatum",202,202,8.05685794375558,201,6.83e-14,1.28e-13,"****"
"1","value","MD_mediodorsal nucleus of thalamus","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,14.950916712968,201,1.79e-34,2.15e-33,"****"
"1","value","MD_mediodorsal nucleus of thalamus","VFC_ventrolateral prefrontal cortex",202,202,9.71966265365417,201,1.5e-18,3.6e-18,"****"
"1","value","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,9.07168762672762,201,1.08e-16,2.27e-16,"****"
"1","value","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,17.4860129334158,201,3.14e-42,1.88e-40,"****"
"1","value","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","STR_striatum",202,202,4.00555887038057,201,8.71e-05,0.000108,"***"
"1","value","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,15.8832053838345,201,2.41e-37,4.13e-36,"****"
"1","value","MFC_anterior (rostral) cingulate (medial prefrontal) cortex","VFC_ventrolateral prefrontal cortex",202,202,8.41185750657327,201,7.44e-15,1.44e-14,"****"
"1","value","OFC_orbital frontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,10.9462452778755,201,3.56e-22,1.07e-21,"****"
"1","value","OFC_orbital frontal cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,18.06891906939,201,5.52e-44,6.62e-42,"****"
"1","value","OFC_orbital frontal cortex","STR_striatum",202,202,4.37914174877549,201,1.92e-05,2.53e-05,"****"
"1","value","OFC_orbital frontal cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,17.0631856681436,201,5.99e-41,1.8e-39,"****"
"1","value","OFC_orbital frontal cortex","VFC_ventrolateral prefrontal cortex",202,202,11.8470617948179,201,6.67e-25,2.67e-24,"****"
"1","value","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","STR_striatum",202,202,-5.575098298414,201,7.9e-08,1.13e-07,"****"
"1","value","S1C_primary somatosensory cortex (area S1, areas 3,1,2)","VFC_ventrolateral prefrontal cortex",202,202,-3.81800901437861,201,0.000179,0.000217,"***"
"1","value","STC_posterior (caudal) superior temporal cortex (area 22c)","STR_striatum",202,202,-10.3219233691004,201,2.59e-20,7.06e-20,"****"
"1","value","STC_posterior (caudal) superior temporal cortex (area 22c)","VFC_ventrolateral prefrontal cortex",202,202,-7.70221151269083,201,5.97e-13,1.04e-12,"****"
"1","value","STR_striatum","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,14.4099699101681,201,8.42e-33,6.74e-32,"****"
"1","value","STR_striatum","VFC_ventrolateral prefrontal cortex",202,202,4.08032698427692,201,6.48e-05,8.27e-05,"****"
"1","value","V1C_primary visual cortex (striate cortex, area V1/17)","VFC_ventrolateral prefrontal cortex",202,202,-8.86563121468362,201,4.11e-16,8.36e-16,"****"
"2","value","A1C_primary auditory cortex (core)","AMY_amygdaloid complex",202,202,3.25910398596476,201,0.001,0.002,"**"
"2","value","A1C_primary auditory cortex (core)","CBC_cerebellar cortex",202,202,11.4955022703726,201,7.83e-24,3.48e-23,"****"
"2","value","A1C_primary auditory cortex (core)","DFC_dorsolateral prefrontal cortex",202,202,24.286289220392,201,1.06e-61,2.54e-60,"****"
"2","value","A1C_primary auditory cortex (core)","HIP_hippocampus (hippocampal formation)",202,202,7.46887441796127,201,2.42e-12,6.31e-12,"****"
"2","value","A1C_primary auditory cortex (core)","IPC_posteroventral (inferior) parietal cortex",202,202,25.9374239548687,201,4.65e-66,1.39e-64,"****"
"2","value","A1C_primary auditory cortex (core)","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,27.5659206077192,201,3.26e-70,1.96e-68,"****"
"2","value","A1C_primary auditory cortex (core)","M1C_primary motor cortex (area M1, area 4)",202,202,16.1003673545952,201,5.2e-38,5.67e-37,"****"
"2","value","A1C_primary auditory cortex (core)","MD_mediodorsal nucleus of thalamus",202,202,12.3565461595221,201,1.84e-26,1e-25,"****"
"2","value","A1C_primary auditory cortex (core)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,30.7074102946971,201,7.81e-78,9.37e-76,"****"
"2","value","A1C_primary auditory cortex (core)","OFC_orbital frontal cortex",202,202,21.9990502292072,201,2.05e-55,3.51e-54,"****"
"2","value","A1C_primary auditory cortex (core)","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,26.813236099046,201,2.6e-68,1.04e-66,"****"
"2","value","A1C_primary auditory cortex (core)","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,19.0450804011037,201,6.82e-47,9.09e-46,"****"
"2","value","A1C_primary auditory cortex (core)","STR_striatum",202,202,7.32566116672858,201,5.64e-12,1.35e-11,"****"
"2","value","A1C_primary auditory cortex (core)","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,23.3370034108859,201,3.99e-59,7.98e-58,"****"
"2","value","A1C_primary auditory cortex (core)","VFC_ventrolateral prefrontal cortex",202,202,15.8507248982434,201,3.03e-37,3.03e-36,"****"
"2","value","AMY_amygdaloid complex","CBC_cerebellar cortex",202,202,6.61698157222533,201,3.26e-10,6.86e-10,"****"
"2","value","AMY_amygdaloid complex","DFC_dorsolateral prefrontal cortex",202,202,11.7947577264302,201,9.63e-25,4.44e-24,"****"
"2","value","AMY_amygdaloid complex","HIP_hippocampus (hippocampal formation)",202,202,5.90661672688082,201,1.47e-08,2.78e-08,"****"
"2","value","AMY_amygdaloid complex","IPC_posteroventral (inferior) parietal cortex",202,202,13.9501537268918,201,2.23e-31,1.67e-30,"****"
"2","value","AMY_amygdaloid complex","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,10.6043504965423,201,3.76e-21,1.37e-20,"****"
"2","value","AMY_amygdaloid complex","M1C_primary motor cortex (area M1, area 4)",202,202,11.2231671008854,201,5.23e-23,2.16e-22,"****"
"2","value","AMY_amygdaloid complex","MD_mediodorsal nucleus of thalamus",202,202,8.05641132367037,201,6.85e-14,2e-13,"****"
"2","value","AMY_amygdaloid complex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,20.3411746673109,201,1.1e-50,1.65e-49,"****"
"2","value","AMY_amygdaloid complex","OFC_orbital frontal cortex",202,202,14.7870972744511,201,5.75e-34,4.93e-33,"****"
"2","value","AMY_amygdaloid complex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,14.0805687724962,201,8.8e-32,7.04e-31,"****"
"2","value","AMY_amygdaloid complex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,9.89434548233145,201,4.67e-19,1.65e-18,"****"
"2","value","AMY_amygdaloid complex","STR_striatum",202,202,4.03504278506752,201,7.76e-05,0.000116,"***"
"2","value","AMY_amygdaloid complex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,12.3454961933522,201,1.99e-26,1.04e-25,"****"
"2","value","AMY_amygdaloid complex","VFC_ventrolateral prefrontal cortex",202,202,13.7665451379638,201,8.24e-31,5.82e-30,"****"
"2","value","CBC_cerebellar cortex","HIP_hippocampus (hippocampal formation)",202,202,-4.88677476402199,201,2.09e-06,3.63e-06,"****"
"2","value","CBC_cerebellar cortex","IPC_posteroventral (inferior) parietal cortex",202,202,3.40310583831054,201,0.000804,0.001,"**"
"2","value","CBC_cerebellar cortex","M1C_primary motor cortex (area M1, area 4)",202,202,-2.05463095852876,201,0.041,0.048,"*"
"2","value","CBC_cerebellar cortex","MD_mediodorsal nucleus of thalamus",202,202,3.37457579380518,201,0.000887,0.001,"**"
"2","value","CBC_cerebellar cortex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,4.63416203927284,201,6.44e-06,1.05e-05,"****"
"2","value","CBC_cerebellar cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,3.68714001093038,201,0.000292,0.000407,"***"
"2","value","CBC_cerebellar cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,-2.6020835071559,201,0.01,0.013,"*"
"2","value","CBC_cerebellar cortex","STR_striatum",202,202,-3.98918938733636,201,9.28e-05,0.000137,"***"
"2","value","CBC_cerebellar cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,4.6856014609308,201,5.14e-06,8.69e-06,"****"
"2","value","CBC_cerebellar cortex","VFC_ventrolateral prefrontal cortex",202,202,-2.2287368704059,201,0.027,0.032,"*"
"2","value","DFC_dorsolateral prefrontal cortex","HIP_hippocampus (hippocampal formation)",202,202,-9.1422053392514,201,6.83e-17,2.28e-16,"****"
"2","value","DFC_dorsolateral prefrontal cortex","IPC_posteroventral (inferior) parietal cortex",202,202,7.92039760243927,201,1.58e-13,4.51e-13,"****"
"2","value","DFC_dorsolateral prefrontal cortex","M1C_primary motor cortex (area M1, area 4)",202,202,-2.91664567342181,201,0.004,0.005,"**"
"2","value","DFC_dorsolateral prefrontal cortex","MD_mediodorsal nucleus of thalamus",202,202,3.75971124128435,201,0.000223,0.000319,"***"
"2","value","DFC_dorsolateral prefrontal cortex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,11.3959668274563,201,1.57e-23,6.73e-23,"****"
"2","value","DFC_dorsolateral prefrontal cortex","OFC_orbital frontal cortex",202,202,2.32165819085003,201,0.021,0.026,"*"
"2","value","DFC_dorsolateral prefrontal cortex","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,8.31710984662558,201,1.35e-14,4.26e-14,"****"
"2","value","DFC_dorsolateral prefrontal cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,-4.67401853815063,201,5.41e-06,9.02e-06,"****"
"2","value","DFC_dorsolateral prefrontal cortex","STR_striatum",202,202,-2.34874244447917,201,0.02,0.024,"*"
"2","value","DFC_dorsolateral prefrontal cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,7.02574571223469,201,3.23e-11,7.31e-11,"****"
"2","value","DFC_dorsolateral prefrontal cortex","VFC_ventrolateral prefrontal cortex",202,202,-3.72069401711627,201,0.000258,0.000364,"***"
"2","value","HIP_hippocampus (hippocampal formation)","IPC_posteroventral (inferior) parietal cortex",202,202,12.3115910805046,201,2.53e-26,1.27e-25,"****"
"2","value","HIP_hippocampus (hippocampal formation)","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,7.36754171633359,201,4.41e-12,1.08e-11,"****"
"2","value","HIP_hippocampus (hippocampal formation)","M1C_primary motor cortex (area M1, area 4)",202,202,7.12422229498304,201,1.83e-11,4.22e-11,"****"
"2","value","HIP_hippocampus (hippocampal formation)","MD_mediodorsal nucleus of thalamus",202,202,6.55582057770944,201,4.57e-10,9.29e-10,"****"
"2","value","HIP_hippocampus (hippocampal formation)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,18.1817634084073,201,2.53e-44,3.04e-43,"****"
"2","value","HIP_hippocampus (hippocampal formation)","OFC_orbital frontal cortex",202,202,12.8352138349127,201,6.2e-28,4.13e-27,"****"
"2","value","HIP_hippocampus (hippocampal formation)","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,12.0910188468323,201,1.2e-25,5.76e-25,"****"
"2","value","HIP_hippocampus (hippocampal formation)","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,7.41629672593585,201,3.3e-12,8.43e-12,"****"
"2","value","HIP_hippocampus (hippocampal formation)","STR_striatum",202,202,2.22477522091773,201,0.027,0.032,"*"
"2","value","HIP_hippocampus (hippocampal formation)","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,10.9580999237553,201,3.28e-22,1.31e-21,"****"
"2","value","HIP_hippocampus (hippocampal formation)","VFC_ventrolateral prefrontal cortex",202,202,7.71184726302136,201,5.63e-13,1.5e-12,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","ITC_inferolateral temporal cortex (area TEv, area 20)",202,202,-5.39232495898278,201,1.94e-07,3.47e-07,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","M1C_primary motor cortex (area M1, area 4)",202,202,-8.19666057852995,201,2.87e-14,8.83e-14,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,4.47971636157302,201,1.25e-05,1.97e-05,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","OFC_orbital frontal cortex",202,202,-4.62423682778993,201,6.72e-06,1.08e-05,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,-10.8791458998555,201,5.67e-22,2.19e-21,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","STR_striatum",202,202,-6.34784874245466,201,1.42e-09,2.79e-09,"****"
"2","value","IPC_posteroventral (inferior) parietal cortex","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,2.06166968682878,201,0.04,0.048,"*"
"2","value","IPC_posteroventral (inferior) parietal cortex","VFC_ventrolateral prefrontal cortex",202,202,-7.88981389129734,201,1.91e-13,5.33e-13,"****"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","M1C_primary motor cortex (area M1, area 4)",202,202,-2.88669479471834,201,0.004,0.006,"**"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","MD_mediodorsal nucleus of thalamus",202,202,3.77783622432698,201,0.000208,0.000301,"***"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,8.45218340109621,201,5.77e-15,1.87e-14,"****"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","S1C_primary somatosensory cortex (area S1, areas 3,1,2)",202,202,6.42964988034796,201,9.13e-10,1.83e-09,"****"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","STC_posterior (caudal) superior temporal cortex (area 22c)",202,202,-4.13082289396731,201,5.3e-05,8.05e-05,"****"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","STR_striatum",202,202,-3.04437314462727,201,0.003,0.003,"**"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","V1C_primary visual cortex (striate cortex, area V1/17)",202,202,5.84341636781519,201,2.04e-08,3.77e-08,"****"
"2","value","ITC_inferolateral temporal cortex (area TEv, area 20)","VFC_ventrolateral prefrontal cortex",202,202,-3.62706908476763,201,0.000363,0.000501,"***"
"2","value","M1C_primary motor cortex (area M1, area 4)","MD_mediodorsal nucleus of thalamus",202,202,3.90145812830896,201,0.00013,0.00019,"***"
"2","value","M1C_primary motor cortex (area M1, area 4)","MFC_anterior (rostral) cingulate (medial prefrontal) cortex",202,202,12.4290817601202,201,1.1e-26,6.29e-26,"****"
