"variable",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","2","4",10,10,4.59249226465705,9,0.001,0.003,"**"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","3","5",10,10,-3.3183498496146,9,0.009,0.018,"*"
"MFC_anterior (rostral) cingulate (medial prefrontal) cortex","value","4","5",10,10,-5.23256008041214,9,0.00054,0.003,"**"
"OFC_orbital frontal cortex","value","1","2",10,10,3.01431702402645,9,0.015,0.027,"*"
"OFC_orbital frontal cortex","value","1","3",10,10,4.01731616324833,9,0.003,0.008,"**"
"OFC_orbital frontal cortex","value","1","4",10,10,6.46631268303208,9,0.000116,0.00058,"***"
"OFC_orbital frontal cortex","value","1","5",10,10,4.52196707746506,9,0.001,0.005,"**"
"OFC_orbital frontal cortex","value","2","4",10,10,8.0997802150484,9,2e-05,2e-04,"***"
"OFC_orbital frontal cortex","value","4","5",10,10,-2.94211262036897,9,0.016,0.027,"*"
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)","value","1","3",10,10,3.2306397981449,9,0.01,0.026,"*"
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)","value","1","4",10,10,5.18078442014402,9,0.000579,0.003,"**"
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)","value","1","5",10,10,5.12165897824581,9,0.000627,0.003,"**"
"S1C_primary somatosensory cortex (area S1, areas 3,1,2)","value","2","4",10,10,4.59797054845969,9,0.001,0.004,"**"
"STC_posterior (caudal) superior temporal cortex (area 22c)","value","1","3",10,10,3.8894653266233,9,0.004,0.012,"*"
"STC_posterior (caudal) superior temporal cortex (area 22c)","value","1","4",10,10,6.7140213685443,9,8.71e-05,0.000871,"***"
"STC_posterior (caudal) superior temporal cortex (area 22c)","value","1","5",10,10,5.88576473725881,9,0.000233,0.001,"**"
"STR_striatum","value","1","3",10,10,2.95804379266581,9,0.016,0.04,"*"
"STR_striatum","value","2","3",10,10,4.49057073543445,9,0.002,0.015,"*"
"STR_striatum","value","2","4",10,10,3.08635742767482,9,0.013,0.04,"*"
"STR_striatum","value","2","5",10,10,3.793243247627,9,0.004,0.021,"*"
"V1C_primary visual cortex (striate cortex, area V1/17)","value","1","3",10,10,4.55774289213908,9,0.001,0.003,"**"
"V1C_primary visual cortex (striate cortex, area V1/17)","value","1","4",10,10,6.28163231742025,9,0.000144,0.001,"**"
"V1C_primary visual cortex (striate cortex, area V1/17)","value","2","4",10,10,4.91017850843281,9,0.000836,0.003,"**"
"V1C_primary visual cortex (striate cortex, area V1/17)","value","3","4",10,10,2.95430461660495,9,0.016,0.032,"*"
"V1C_primary visual cortex (striate cortex, area V1/17)","value","4","5",10,10,-4.71689967007186,9,0.001,0.003,"**"
"VFC_ventrolateral prefrontal cortex","value","1","3",10,10,3.59704376007997,9,0.006,0.029,"*"
"VFC_ventrolateral prefrontal cortex","value","1","4",10,10,3.72034831072559,9,0.005,0.029,"*"
"VFC_ventrolateral prefrontal cortex","value","1","5",10,10,3.10051474621707,9,0.013,0.042,"*"
